k,score,sample
100,438529.0,8
100,328428.0,2
100,256285.0,1
100,227913.0,3
100,134878.0,6
100,470647.0,4
100,438579.0,0
100,683242.0,5
100,461114.0,7
100,91937.0,9
4000,4641652.0,8
4000,4641652.0,2
4000,4641652.0,1
4000,4641652.0,3
4000,4641652.0,6
4000,4641652.0,4
4000,4641652.0,0
4000,4641652.0,5
4000,4641652.0,7
4000,4641652.0,9
3000,4641652.0,8
3000,4641652.0,2
3000,4641652.0,1
3000,4641652.0,3
3000,4641652.0,6
3000,4641652.0,4
3000,4641652.0,0
3000,4641652.0,5
3000,4641652.0,7
3000,4641652.0,9
50,20524.0,8
50,208058.0,2
50,353922.0,1
50,331017.0,3
50,231113.0,6
50,223627.0,4
50,328187.0,0
50,224785.0,5
50,413376.0,7
50,474831.0,9
4,,8
4,,2
4,,1
4,,3
4,,6
4,,4
4,,0
4,,5
4,,7
4,,9
20,47418.0,8
20,27185.0,2
20,19006.0,1
20,48454.0,3
20,73125.0,6
20,67566.0,4
20,55144.0,0
20,47129.0,5
20,33282.0,7
20,98440.0,9
1100,602362.0,8
1100,1189254.0,17
1100,789236.0,10
1100,674231.0,15
1100,215005.0,2
1100,228842.0,1
1100,635038.0,24
1100,588219.0,12
1100,602363.0,3
1100,228842.0,19
1100,635037.0,28
1100,275149.0,29
1100,617074.0,6
1100,407657.0,16
1100,457860.0,4
1100,1318470.0,13
1100,226699.0,26
1100,271389.0,27
1100,176327.0,0
1100,143472.0,22
1100,228842.0,5
1100,789236.0,7
1100,540558.0,14
1100,407653.0,20
1100,216931.0,11
1100,407653.0,18
1100,442285.0,21
1100,1221922.0,9
1100,230056.0,23
1100,228842.0,25
1500,1134694.0,8
1500,,2
1500,3426876.0,1
1500,1022391.0,3
1500,3426876.0,6
1500,1134694.0,4
1500,3426876.0,0
1500,3426876.0,5
1500,1175822.0,7
1500,3426876.0,9
30,103279.0,8
30,163100.0,2
30,125871.0,1
30,134750.0,3
30,162045.0,6
30,287498.0,4
30,103381.0,0
30,138209.0,5
30,138276.0,7
30,143919.0,9
1700,796515.0,8
1700,939506.0,17
1700,3426876.0,10
1700,3765513.0,15
1700,3765513.0,2
1700,3426876.0,1
1700,898104.0,24
1700,3426876.0,12
1700,1217751.0,3
1700,3426876.0,19
1700,1217751.0,28
1700,3426876.0,29
1700,796515.0,6
1700,3765513.0,16
1700,1176268.0,4
1700,3426876.0,13
1700,796515.0,26
1700,879400.0,27
1700,1022391.0,0
1700,1217751.0,22
1700,939506.0,5
1700,796515.0,7
1700,3426876.0,14
1700,796515.0,20
1700,1134866.0,11
1700,3426876.0,18
1700,1134866.0,21
1700,879400.0,9
1700,879400.0,23
1700,837917.0,25
2000,,8
2000,,2
2000,,1
2000,4641652.0,3
2000,4641652.0,6
2000,4393159.0,4
2000,4641652.0,0
2000,,5
2000,,7
2000,,9
1800,4641652.0,8
1800,3765513.0,17
1800,3765513.0,10
1800,3765513.0,15
1800,3765513.0,2
1800,837917.0,1
1800,796515.0,24
1800,,12
1800,4475963.0,3
1800,796515.0,19
1800,,28
1800,796515.0,29
1800,837917.0,6
1800,796515.0,16
1800,879400.0,4
1800,796515.0,13
1800,879400.0,26
1800,3765513.0,27
1800,4641652.0,0
1800,3765513.0,22
1800,879400.0,5
1800,796515.0,7
1800,796515.0,14
1800,4558767.0,20
1800,3765513.0,11
1800,3765513.0,18
1800,796515.0,21
1800,879400.0,9
1800,3765513.0,23
1800,4558767.0,25
1300,446678.0,8
1300,1087981.0,17
1300,433612.0,10
1300,608988.0,15
1300,609351.0,2
1300,143472.0,1
1300,1087984.0,24
1300,143472.0,12
1300,367204.0,3
1300,436427.0,19
1300,215005.0,28
1300,1047708.0,29
1300,381436.0,6
1300,1047710.0,16
1300,602362.0,4
1300,1357937.0,13
1300,143472.0,26
1300,861234.0,27
1300,861234.0,0
1300,1462265.0,22
1300,367204.0,5
1300,1025492.0,7
1300,1462265.0,14
1300,143472.0,20
1300,602362.0,11
1300,143472.0,18
1300,143472.0,21
1300,338342.0,9
1300,861234.0,23
1300,474482.0,25
3500,4641652.0,8
3500,4641652.0,2
3500,4641652.0,1
3500,4641652.0,3
3500,4641652.0,6
3500,4641652.0,4
3500,4641652.0,0
3500,4641652.0,5
3500,4641652.0,7
3500,4641652.0,9
15,3532.0,8
15,2930.0,2
15,2996.0,1
15,3330.0,3
15,4126.0,6
15,3328.0,4
15,1480.0,0
15,3183.0,5
15,2275.0,7
15,1873.0,9
10,,8
10,,2
10,,1
10,,3
10,,6
10,,4
10,,0
10,,5
10,,7
10,,9
1900,4558767.0,8
1900,4558767.0,17
1900,4393159.0,10
1900,4212780.0,15
1900,,2
1900,4641652.0,1
1900,4641652.0,24
1900,4558767.0,12
1900,,3
1900,4475963.0,19
1900,4212780.0,28
1900,,29
1900,4558767.0,6
1900,,16
1900,4641652.0,4
1900,4558767.0,13
1900,4641652.0,26
1900,,27
1900,4641652.0,0
1900,,22
1900,4475963.0,5
1900,4475963.0,7
1900,4641652.0,14
1900,4641652.0,20
1900,,11
1900,,18
1900,,21
1900,4558767.0,9
1900,,23
1900,4475963.0,25
1600,3426876.0,8
1600,1022391.0,17
1600,3426876.0,10
1600,1217751.0,15
1600,3426876.0,2
1600,3765513.0,1
1600,837917.0,24
1600,3426876.0,12
1600,796515.0,3
1600,837917.0,19
1600,879400.0,28
1600,1176268.0,29
1600,3426876.0,6
1600,837917.0,16
1600,837917.0,4
1600,1217751.0,13
1600,3426876.0,26
1600,3426876.0,27
1600,1217751.0,0
1600,879400.0,22
1600,796515.0,5
1600,879400.0,7
1600,3426876.0,14
1600,3426876.0,20
1600,3765513.0,11
1600,796515.0,18
1600,3426876.0,21
1600,796515.0,9
1600,939506.0,23
1600,1134866.0,25
6,,8
6,,2
6,,1
6,,3
6,,6
6,,4
6,,0
6,,5
6,,7
6,,9
1200,268128.0,8
1200,401780.0,17
1200,215005.0,10
1200,612853.0,15
1200,331000.0,2
1200,602363.0,1
1200,692693.0,24
1200,457860.0,12
1200,660338.0,3
1200,143472.0,19
1200,523577.0,28
1200,302999.0,29
1200,770776.0,6
1200,559109.0,16
1200,407657.0,4
1200,302999.0,13
1200,617074.0,26
1200,660337.0,27
1200,617072.0,0
1200,433086.0,22
1200,407657.0,5
1200,673154.0,7
1200,1189254.0,14
1200,143472.0,20
1200,407657.0,11
1200,345445.0,18
1200,431345.0,21
1200,483422.0,9
1200,216931.0,23
1200,483422.0,25
5000,4641652.0,8
5000,4641652.0,2
5000,4641652.0,1
5000,4641652.0,3
5000,4641652.0,6
5000,4641652.0,4
5000,4641652.0,0
5000,4641652.0,5
5000,4641652.0,7
5000,4641652.0,9
25,80719.0,8
25,120916.0,2
25,51435.0,1
25,51099.0,3
25,14231.0,6
25,117689.0,4
25,30801.0,0
25,80839.0,5
25,83636.0,7
25,120797.0,9
2500,,8
2500,,2
2500,4641652.0,1
2500,,3
2500,4212780.0,6
2500,,4
2500,4212780.0,0
2500,,5
2500,4558767.0,7
2500,,9
1000,405456.0,8
1000,407653.0,2
1000,108636.0,1
1000,407657.0,3
1000,143472.0,6
1000,289204.0,4
1000,143472.0,0
1000,291343.0,5
1000,433086.0,7
1000,225136.0,9
4500,4641652.0,8
4500,4641652.0,2
4500,4641652.0,1
4500,4641652.0,3
4500,4641652.0,6
4500,4641652.0,4
4500,4641652.0,0
4500,4641652.0,5
4500,4641652.0,7
4500,4641652.0,9
8,,8
8,,2
8,,1
8,,3
8,,6
8,,4
8,,0
8,,5
8,,7
8,,9
200,328268.0,8
200,302556.0,2
200,707903.0,1
200,361246.0,3
200,361134.0,6
200,724645.0,4
200,434091.0,0
200,214845.0,5
200,280315.0,7
200,535323.0,9
1400,796515.0,8
1400,3765513.0,17
1400,796334.0,10
1400,796515.0,15
1400,878954.0,2
1400,4475791.0,1
1400,1176268.0,24
1400,3426876.0,12
1400,837917.0,3
1400,1134866.0,19
1400,,28
1400,795978.0,29
1400,980822.0,6
1400,856535.0,16
1400,1134780.0,4
1400,3426876.0,13
1400,1134866.0,26
1400,878954.0,27
1400,3426876.0,0
1400,939334.0,22
1400,796515.0,5
1400,3426876.0,7
1400,878422.0,14
1400,837917.0,20
1400,3426876.0,11
1400,3426876.0,18
1400,796343.0,21
1400,3765513.0,9
1400,796515.0,23
1400,3426876.0,25
500,612853.0,8
500,143472.0,2
500,226700.0,1
500,407657.0,3
500,328428.0,6
500,814700.0,4
500,588133.0,0
500,511362.0,5
500,612849.0,7
500,612853.0,9
